lambda,score,label
0.0,0.6740065014927735,spatial_domain
0.0,0.7420463512210246,spatial_domain
0.0,0.7312034895905998,spatial_domain
1e-09,0.690326685231998,spatial_domain
1e-09,0.6966997985845053,spatial_domain
1e-09,0.7365819031302908,spatial_domain
1e-07,0.6915903819621826,spatial_domain
1e-07,0.6965466720164781,spatial_domain
1e-07,0.7299332481864896,spatial_domain
0.001,0.6988426096072163,spatial_domain
0.001,0.6990086824823689,spatial_domain
0.001,0.7319627033874644,spatial_domain
1.0,0.4726386898178925,spatial_domain
1.0,0.477191592736323,spatial_domain
1.0,0.4773424636392886,spatial_domain
10.0,0.28175483809843277,spatial_domain
10.0,0.2726721200447525,spatial_domain
10.0,0.28561361727838347,spatial_domain
100.0,0.27031279442246087,spatial_domain
100.0,0.27037916595008776,spatial_domain
100.0,0.2782233698513975,spatial_domain
